first_name,last_name,ssn,email
Tina,Fleming,619-16-7988,Tina_Fleming@fakemail.com
Erica,Shah,164-51-7615,Erica_Shah@fakemail.com
Paula,Ortiz,051-83-3290,Paula_Ortiz@fakemail.com
James,Hendricks,776-83-2884,James_Hendricks@fakemail.com
Lauren,King,197-94-2398,Lauren_King@fakemail.com
David,Cowan,252-92-1832,David_Cowan@fakemail.com
Andrew,Burton,296-23-6842,Andrew_Burton@fakemail.com
Julian,Baker,337-40-7543,Julian_Baker@fakemail.com
Scott,Castro,399-46-5595,Scott_Castro@fakemail.com
Billy,Rodriguez,014-18-2503,Billy_Rodriguez@fakemail.com
Darrell,Leblanc,005-82-7918,Darrell_Leblanc@fakemail.com
David,Hammond,561-17-6312,David_Hammond@fakemail.com
